GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,3.4218168066666297,-0.03929026566218634,0.4125464623682712,-0.09523840160120627,0.9241254685311713,0.9501475269262691
653635,257.8668931235148,0.29774354419413185,0.29720591812254293,1.0018089346100008,0.316435881213457,0.4354622218533812
102466751,8.53782118697185,0.7066016879172455,0.37056343751259196,1.906830562292684,0.05654253231100876,0.1104482373343066
100996442,22.376233864062012,0.24840315084605508,0.2006905734825991,1.237741995229252,0.21581174227439137,0.3229103375676679
729737,55.515808686453276,1.5012819525844443,0.5020346534049462,2.990395070145676,0.0027861683546603977,0.0088690762078378
102725121,3.3185914465056032,0.1365295161769104,0.46452589893539753,0.2939115267626828,0.7688255098461374,0.8390898342551619
102723897,288.04150095587585,0.6097383891668158,0.29976739227593535,2.0340384073713818,0.04194772318201224,0.08664304564948565
102465909,5.662958417327792,0.4818182272951133,0.34773460471509465,1.3855918299815912,0.16587157436875066,0.26321293430923975
112268260,13.369062573676684,-0.5456169816745045,0.27439152544587975,-1.988461490521217,0.046760673966202676,0.09465550853010844
100132287,66.7267803500866,1.1651203994187107,0.45746671924705906,2.5468965290772916,0.01086856539766826,0.02822343570338465
113219467,18007.85455116029,-1.1300530538044644,0.25398509047985607,-4.449288939242245,8.61550472985494e-06,5.534265191052652e-05
81399,3.9633700720886518,0.3848992043653474,0.3282990146326375,1.17240438505746,0.24103473980404233,0.35201460701700316
100133331,69.95471125763231,0.9724330008419848,0.4535880126353246,2.143868386627318,0.03204343387874904,0.06960511077379929
107984841,9.61096780100503,0.30763016853625746,0.4344515991411553,0.7080884709468108,0.4788903186961,0.5957615620651958
107984847,12.063738560022394,0.4309794410445504,0.4526687609404545,0.9520856710968019,0.3410535353339863,0.4607990070241918
107984849,2.104366060912941,0.49615319631993665,0.6235906264486357,0.79563927884154,0.42624172942870076,0.5473824447105499
100288069,11.07907504986683,0.7632253854905718,0.341674917717595,2.2337764521579584,0.02549778568350962,0.05761918181737719
105378580,11.97960154370431,0.15750639487626955,0.21447678896716965,0.7343750138873038,0.4627202106973116,0.5813133765763294
400728,3.770767702887173,1.3161175023458975,0.4578357209789474,2.8746501027306612,0.004044754602222555,0.012181083947293999
79854,13.707855706229871,-0.2871021970212323,0.2154368870954334,-1.3326510649685206,0.18264633902958538,0.28360836024738023
643837,451.21013319731986,0.41889462916726034,0.16391212852822173,2.55560484101173,0.010600342251665206,0.02759469957633297
284600,0.9426281233074413,1.0674948345703352,0.9473477178091062,1.1268247281358197,0.2598165932608675,0.3732320674512267
100130417,18.422442486120996,1.3654791252254548,0.39976579143056146,3.41569777728877,0.0006361881177789243,0.002478220076275157
107985728,9.899984764325017,2.161959898068145,0.469165139728578,4.6081000376943715,4.063651521149315e-06,2.8377811818029192e-05
148398,91.7907466724848,0.24787294791469294,0.28517627659485756,0.8691920340444009,0.38474210377858353,0.5054008700523405
26155,670.5920414120643,0.7052665204125844,0.12548450256980717,5.620347580532854,1.905736579793526e-08,2.3005629185109447e-07
339451,59.077417590827906,0.49595760761362423,0.32112478341300743,1.544438901110163,0.12248204211931028,0.2065558595448715
84069,2.7880009045991776,0.6967341282993584,0.5289842943479521,1.3171168515658516,0.18779945924300667,0.28978577849410914
57801,10.121144724818784,0.6849266290406917,0.4377859556451035,1.5645239875989436,0.11769456417158589,0.20009337759298568
9636,301.9300350219177,0.8506783664362015,0.27911683744178556,3.0477500900089005,0.0023056158463032536,0.007536023525902861
375790,630.1018900789559,1.216153498130498,0.2455869332580643,4.952028522024648,7.344383627873757e-07,6.122617969913534e-06
100288175,4.526126088906239,0.06611299258737316,0.48980645082444824,0.13497779066831594,0.8926294340960199,0.9282978140690328
105378948,4.435831061002467,0.025313755567993836,0.4817215346758997,0.05254852387910129,0.9580916322510102,0.97247486843313
54991,67.44817007980093,1.3008310762566524,0.3005128697512419,4.32870338409617,1.4998978045492455e-05,9.055678885230691e-05
8784,2.805721489676622,1.2194350274625014,0.6282378014511182,1.9410405178513968,0.0522533629625786,0.10355766668294554
7293,5.0096513953928445,0.5769468504672416,0.45258190784045027,1.274789911996734,0.2023836122845979,0.3072499618900412
51150,2335.138627416272,0.877822175402346,0.1175826605232281,7.465575038837762,8.29366102079128e-14,3.3537208499374574e-12
126792,220.29909131471555,0.13713061695484224,0.1390663052803192,0.9860808243839142,0.32409345260493294,0.44333163239929047
388581,5.648883827848204,1.3490955240817806,0.5135501499089712,2.6269985985222926,0.008614168882397888,0.023219347886016647
118424,369.3667916595755,0.24006961765330925,0.158695382766345,1.5127700218397373,0.13033808611059833,0.21680694677471024
101928895,12.04456789114113,0.7663759838178595,0.4973112744371565,1.5410388286194059,0.12330733616405845,0.20760070247551174
6339,101.16724082979135,0.5407409682561194,0.4700591311579117,1.1503679695022515,0.24999234680730864,0.36200052828401613
116983,366.05028696683684,0.9256027031512627,0.24789355611767624,3.7338715763626977,0.0001885586672317771,0.0008546350372693858
126789,99.40825100301454,0.4191983613721423,0.18323054370082878,2.2878192298364404,0.02214805050338249,0.05130822510436098
54973,670.0326638561133,0.6600861965507231,0.1570454696945862,4.203153378664307,2.6322209880613766e-05,0.00014956566658551974
80772,470.350235072646,1.008899764531925,0.21545411489254912,4.68266649274757,2.8316702363496852e-06,2.0535910204345846e-05
83756,11.853423586287567,-0.45859825296569,0.2837461449109979,-1.6162272552091856,0.10604518806741742,0.18412350814145678
1855,612.1029214875126,0.9796930562471385,0.1870857355951744,5.236599429296138,1.6356214508513477e-07,1.5925281409283674e-06
54587,126.35406136334493,0.12021972538558302,0.27615022431481834,0.43534176256373214,0.6633143755293938,0.7554678399729398
54998,1174.8974161145268,0.08789322949351117,0.18836518825383303,0.46661079102933783,0.6407783650780665,0.7379303788678053
81669,2478.6995019937044,0.11137023001906436,0.24777204612969497,0.44948666227169226,0.6530806274986996,0.7474685420474747
148413,609.7594187598738,0.26955437282798184,0.1004670535124723,2.6830126235813063,0.007296223621373101,0.02021921912301621
55052,1110.3740349315851,-0.23400938068284438,0.11123280285601377,-2.103780311872207,0.03539761498055949,0.07554576548437038
107984868,1.7153233342120766,1.166419813129195,0.697364691723271,1.672610940836183,0.0944039116613842,0.16745649258140957
441869,28.889547342966175,2.15459940680474,0.4246252413936038,5.074119945704187,3.892934513330267e-07,3.4486490900212265e-06
105378585,2.0566239475699826,0.31888962991739106,0.5505832781008537,0.579185098060639,0.5624642848045025,0.6713283399279546
102724312,17.736300266951393,0.27558644686185824,0.3362411836565479,0.8196094358963321,0.4124387927627232,0.5336679605602643
64856,602.776435966613,0.934052939551976,0.2196927963742785,4.251632074274668,2.1221829856329307e-05,0.0001237847143485314
219293,170.30205511689914,-0.7339575132983677,0.34768350240268814,-2.11099321143025,0.03477289536598601,0.07443431463936837
83858,216.25187173296342,0.7162361150201966,0.27075134834072945,2.645364905510435,0.008160286419358573,0.02215722154223153
55210,252.9100914251445,1.0515037508931129,0.19937223267392296,5.27407320864419,1.3342864030535746e-07,1.3277076713486936e-06
29101,1225.7724027270172,-0.19060703490507386,0.09660434437375451,-1.9730689767701381,0.04848770422984483,0.0974027958652785
643988,6.892887068007394,1.1053858665103922,0.3810964268095254,2.900541145883983,0.00372518927668762,0.011376970964708372
142678,334.02170106561283,0.7074505910289903,0.21944050766528286,3.223883313777597,0.0012646491951495238,0.0044812788718786
8510,29.35774486110043,0.18995151707196517,0.2776466776252627,0.684148352491151,0.4938814917602461,0.6095395221019656
984,386.0948540566524,0.6251758366944979,0.13402217578030465,4.664719350022455,3.090385239465493e-06,2.2144137167560483e-05
728661,953.1461044423113,0.17375788446702456,0.11730721171182208,1.4812208212217994,0.13854773960010028,0.22764856924892504
8511,10.443460881759945,1.2628581876693803,0.4062228777105014,3.1087815506278997,0.001878605597135743,0.006315118754756737
728642,324.48585943225373,0.39941785018489173,0.18495952440819202,2.1594878742411017,0.030812337058153696,0.06726036610426468
9906,572.718895366344,0.14940034264149854,0.1377375826121874,1.0846737673779905,0.2780661703399332,0.39346928514693325
112268218,207.2194277069698,0.06025352091677314,0.2138437737885194,0.28176420500491545,0.7781243195583734,0.8452906583575988
65220,1874.2763337999686,0.5962322714008536,0.10677284555677144,5.584118961068946,2.3488789140752737e-08,2.790000636301288e-07
2782,2897.891533768018,0.24882181713295054,0.06991044417142844,3.5591508548109183,0.0003720557890946983,0.0015479082679726954
105378949,4.621348577334425,0.21836814441700428,0.38236366255943166,0.571100671427068,0.5679314034904679,0.6757826637448887
163688,14.433074754755246,0.03411794299674646,0.5566001636519432,0.06129704090076645,0.9511226473918227,0.9676423065899118
339456,77.63452540585192,0.10288070382465167,0.2078568853971269,0.4949593256345105,0.6206288321964075,0.7208738879308911
85452,28.5223411788614,1.983288010186841,0.6908424648398962,2.8708252765649998,0.004094017462198342,0.01230273521653992
107984872,0.9893036891330426,0.8308891894615414,1.0176242072625672,0.816499041130962,0.4142147717229415,0.5353893464599322
2563,1.4580435326905443,0.7374707972237162,0.7411871493112115,0.9949859464091505,0.3197430995191888,0.43897939451614043
105378590,58.46832955413918,2.1092056235381245,0.2650308452929348,7.958340174355365,1.7436243298561839e-15,1.0405500033012711e-13
5590,333.9781045034891,0.9121552771115732,0.1247370178914505,7.312626937300643,2.619696007021511e-13,9.456463635102039e-12
100506504,15.083701743488984,1.2229663711808203,0.337064496286253,3.6282859353487424,0.00028530917358605317,0.0012260925938657869
199990,289.6509883339174,0.5345755342485057,0.2097505447621936,2.548625248409176,0.010814844466740295,0.028097506948955953
112268219,65.190561149254,0.6496251635070901,0.17845111837750968,3.6403535568369003,0.0002722639253229411,0.0011786776798302053
105378593,12.121836755586871,0.41425154331648,0.2962027581269401,1.3985404657810416,0.16195082987329423,0.25804266297187484
6497,536.0282205658697,0.21050566704118986,0.14129945560685245,1.4897839919984885,0.1362810415396127,0.22457238139692712
79906,43.48855053821677,0.7350422012111104,0.2001107622335699,3.6731767597445204,0.00023955365288231992,0.0010522538769266922
100129534,17.34904112191342,0.6975119162519127,0.2806073085992219,2.485722555602199,0.012928871751118438,0.032749726938413846
11079,3085.2301430557322,0.38691855035892236,0.05836284010174587,6.629536014429634,3.3674367104138555e-11,7.445925793942987e-10
5192,449.55832966559495,0.30840518251479443,0.13372124694781487,2.306328945879113,0.021092258923726983,0.04927417215567028
9651,73.28053642963684,3.2718813143373078,0.5668014981459915,5.77253469696117,7.808785797527946e-09,1.0349554907768382e-07
55229,205.8869731188645,0.7237532187142652,0.1090164915499301,6.638933324897753,3.1596126962973696e-11,7.042510226686908e-10
115110,150.87426238753116,0.5787428080115481,0.19819370324530658,2.9200867562135993,0.003499339537825061,0.010792628193903357
8764,851.9780354333149,0.5318534930529777,0.202979595105976,2.6202313231302687,0.008787014009436787,0.0236078556225943
100996583,2.7313589652354073,0.16301857083265228,0.46176747397021783,0.3530317313842818,0.7240646519756089,0.8035912250091745
127281,165.502659822601,0.7301023112898822,0.14708288443776724,4.963883555049524,6.909738087663351e-07,5.806063041110007e-06
79258,19.60988214411248,0.9416043792556212,0.20920807912193845,4.500803139188522,6.769718253796511e-06,4.4582540858582775e-05
100287898,6.327190808292402,-0.10574246732060856,0.36901707948178086,-0.28655168879745385,0.7744556104111066,0.8427899289767924
440556,3.036656946333367,-0.015366413594731189,0.6228387507904931,-0.024671576030278267,0.980316927219005,0.9875679894841364
63976,6.182720727905286,-0.15059493933000992,0.4884244473399239,-0.30832801296123874,0.7578327524049945,0.8300713984305742
27237,96.27286985000046,1.1477046436631853,0.25743132731013163,4.458294395073864,8.261438727289107e-06,5.340825269243395e-05
